time,intensity,flood_prediction
2024-12-14 09:23:51,Low Intensity,No Risk
2024-12-14 09:28:57,Low Intensity,No Risk
2024-12-14 09:34:03,Low Intensity,No Risk
2024-12-14 09:35:03,Low Intensity,No Risk
2024-12-14 09:40:09,Low Intensity,No Risk
2024-12-14 09:45:14,Low Intensity,No Risk
2024-12-14 09:50:20,Low Intensity,No Risk
2024-12-14 20:51:30,Low Intensity,No Risk
2024-12-14 20:56:35,No Rain,No Risk
2024-12-14 21:01:41,Low Intensity,No Risk
2024-12-14 21:06:50,No Rain,No Risk
2024-12-14 21:11:56,Low Intensity,No Risk
2024-12-14 21:17:01,Low Intensity,No Risk
2024-12-14 21:22:07,No Rain,No Risk
2024-12-14 21:27:13,Low Intensity,No Risk
2024-12-14 21:32:18,Low Intensity,No Risk
2024-12-14 21:37:24,No Rain,No Risk
2024-12-14 21:42:29,Low Intensity,No Risk
2024-12-14 21:47:35,No Rain,No Risk
2024-12-14 21:52:41,No Rain,No Risk
2024-12-14 21:57:46,Low Intensity,No Risk
2024-12-14 22:02:52,No Rain,No Risk
2024-12-14 22:07:57,Low Intensity,No Risk
2024-12-14 22:13:03,Low Intensity,No Risk
2024-12-14 22:17:46,Low Intensity,No Risk
2024-12-14 22:22:52,No Rain,No Risk
2024-12-14 22:27:57,No Rain,No Risk
